지점,시작일,종료일,지점명,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
115,1938-08-10,,울릉도,울릉도기상대(115),37.4813,130.8986,222.4,223.700,1.600,10.000,1.300
115,2016-03-01,,울릉도독도(감),울릉도기상대(115),37.480,130.900,220.9,,,,
115,2004-05-19,2016-03-01,울릉도,울릉도기상대(115),37.4813,130.8986,222.8,,,,
116,2010-08-06,,관악산,,37.4453,126.964,622.38,,,,
116,1993-11-10,2010-08-06,관악(레),,37.4433,126.967,634,,,,
116,2003-03-21,2010-08-05,관악산,,37.4442,126.9639,626.76,,,,
116,1984-01-01,1990-12-31,관악산,,37.4442,126.9639,626.76,627.960,1.400,3.900,1.100
119,1964-01-01,,수원,수도권기상청(119),37.2723,126.9853,34.84,35.840,1.600,18.700,1.100
119,2008-04-25,,수원,,37.2723,126.9853,34.06,,,,
121,1994-12-01,,영월,영월기상대(121),37.1813,128.4574,240.6,242.100,1.700,10.000,1.400
121,2007-01-31,,영월,춘천기상대(101),37.1813,128.4574,240.6,,,,
127,1972-01-01,,충주,청주기상대(131),36.9704,127.9527,116.3,117.700,1.650,10.000,1.000
129,1968-01-01,,서산,홍성기상대(서산 129),36.7766,126.4939,25.86,30.100,1.600,20.200,1.100
130,1971-01-12,,울진,대구(구 143),36.9918,129.4128,50,51.500,1.750,10.000,1.300
130,2010-10-28,,울진,안동기상대(136),36.9918,129.4128,50,,,,
131,1967-01-01,,청주,청주기상대(131),36.6392,127.4407,58.7,60.100,1.700,10.000,0.800
132,1999-02-08,,안면도(감),,36.540,126.330,47,,,,
132,2016-03-01,,안면도(감),,36.5383,126.330,45.7,,,,
132,2003-03-21,2016-03-01,안면센터,,36.5383,126.330,45.7,,,,
133,1969-01-01,,대전,대전지방기상청(133),36.372,127.3721,68.9,70.400,1.600,19.800,1.200
135,1937-01-11,,추풍령,청주기상대(131),36.2202,127.9946,243.7,244.900,1.600,10.000,1.100
135,2004-05-19,,추풍령,청주기상대(131),36.2202,127.9946,244.73,,,,
136,1983-01-01,,안동,안동기상대(136),36.5729,128.7073,140.1,141.600,1.800,10.000,1.300
136,2007-01-31,,안동,안동기상대(136),36.5729,128.7073,140.1,,,,
136,1973-01-01,1978-05-01,안동,,36.573,128.7073,139.39,141.400,1.500,10.000,0.600
137,2002-01-01,,상주,대구(구 143),36.4084,128.1574,96.17,97.670,1.800,10.000,1.400
138,1943-01-01,,포항,포항기상대(138),36.032,129.380,3.94,4.920,1.600,10.000,1.200
140,2003-12-31,,군산,전주기상대(146),36.0053,126.7614,23.2,24.600,1.700,10.000,1.000
140,2007-01-01,,군산,전주기상대(146),36.0053,126.7614,23.2,,,,
140,1968-01-01,2003-12-01,군산,,35.993,126.7057,25.57,30.740,1.500,18.000,0.600
143,2007-01-31,,대구,대구(구 143),35.8852,128.619,64.08,,,,
143,2017-08-25,,대구,대구(구 143),35.878,128.653,53.5,54.700,1.800,10.000,0.600
143,1907-01-31,2017-08-25,대구,대구(구 143),35.8282,128.6522,53.4,54.900,1.800,10.000,0.600
144,1993-03-16,2011-12-09,군산(레),군산기상대(140),36.0123,126.7834,198.61,,,,
144,2003-03-21,2006-12-27,오성산,,36.0127,126.7839,227.41,,,,
146,2008-04-28,,전주,전주기상대(146),35.8215,127.155,53.4,,,,
146,2015-07-01,,전주,전주기상대(146),35.8408,127.119,61.4,62.900,1.600,10.000,1.400
146,1918-06-23,2015-07-01,전주,전주기상대(146),35.8215,127.155,53.4,62.400,1.800,18.400,0.600
151,1985-01-01,,울산공항,,35.5933,129.3522,12.6,10.300,2.000,10.000,0.600
152,2016-04-01,,울산,울산기상대(152),35.5826,129.3344,82,,,,
152,2017-08-25,,울산,울산기상대(152),35.5825,129.3347,82,83.200,1.800,10.000,1.300
152,2016-04-01,2017-08-25,울산,울산기상대(152),35.5826,129.3344,82,83.200,1.800,10.000,0.600
152,1932-01-06,2016-04-01,울산,울산기상대(152),35.5601,129.3203,34.57,35.800,1.500,12.000,0.500
152,2008-04-30,2016-04-01,울산,울산기상대(152),35.5601,129.3203,34.57,,,,
155,2010-07-22,,창원,창원기상대(155),35.1702,128.5729,37.6,39.100,1.700,10.000,1.300
155,2004-12-16,2010-07-21,마산,,35.1671,128.5751,36.8,37.900,1.700,10.000,0.500
155,1985-07-01,2004-12-15,마산,,35.1903,128.5652,11.25,4.900,1.500,17.600,0.600
156,1939-05-01,,광주,광주지방기상청(156),35.1729,126.8916,72.38,73.900,1.700,17.500,0.800
156,2004-01-27,,광주,광주지방기상청(156),35.1729,126.8916,72.38,,,,
159,1904-04-09,,부산,부산지방기상청(159),35.1047,129.032,69.56,70.900,1.500,18.000,1.300
160,1993-03-04,,부산(레),부산지방기상청(159),35.1188,129.000,518.46,,,,
160,2005-05-12,,구덕산,부산지방기상청(159),35.1188,129.000,518.46,,,,
162,1968-01-01,,통영,부산지방기상청(159),34.8455,128.4356,32.3,33.200,1.500,18.000,1.300
163,2007-11-08,,무안공항,,34.9914,126.3831,10.9,9.300,1.500,7.000,0.200
164,1993-01-01,2000-07-31,무안,,35.0938,126.2851,24.49,25.030,1.500,12.600,0.600
165,1904-04-08,,목포,목포기상대(165),34.8169,126.3812,38,39.200,1.500,14.500,1.000
167,1978-08-01,,여수공항,,34.8467,127.6125,17.9,10.900,1.500,10.000,0.200
168,1942-03-01,,여수,여수기상대(168),34.7393,127.7406,64.64,66.100,1.500,13.000,0.600
169,1997-01-01,,흑산도,흑산도기상대(169),34.6872,125.451,76.49,78.000,1.500,15.500,0.600
169,2003-03-21,,흑산도,흑산도기상대(169),34.6872,125.451,76.49,,,,
170,1971-01-31,,완도,목포기상대(165),34.3959,126.7018,35.24,36.700,1.500,10.000,0.800
172,2010-12-01,,고창,전주기상대(146),35.3489,126.599,52,53.500,1.800,10.000,1.700
174,2011-04-01,,순천,광주지방기상청(156),35.0204,127.3694,165,166.500,1.500,10.000,0.800
175,2001-11-03,,진도(첨찰산),목포기상대(165),34.4721,126.3238,478.51,479.760,1.500,10.000,0.800
175,2008-04-30,2015-10-15,진도(첨찰산),목포기상대(165),34.4721,126.3238,476.47,,,,
176,2013-10-10,2015-06-11,대구(기),대구기상대(176),35.8782,128.6522,49,50.200,1.800,10.000,0.600
177,2017-10-31,,홍성,,36.6576,126.6877,25.63,26.600,1.500,10.000,1.500
177,2015-11-03,2017-10-31,홍성(예),홍성기상대(서산 129),36.6575,126.6877,20,,,10.000,
182,1965-11-01,,제주공항,,33.5167,126.500,26.5,24.440,2.000,10.000,0.500
184,1923-05-01,,제주,제주지방기상청(184),33.5141,126.5297,20.45,21.650,1.700,15.000,1.500
185,1988-01-01,,고산,제주지방기상청(184),33.2938,126.1628,71.47,72.570,1.700,10.000,1.500
185,2003-03-21,,고산,제주지방기상청(184),33.2938,126.1628,74.29,,,,
187,2007-03-27,2008-09-04,성산,,33.3868,126.8804,18,20.480,1.800,10.200,0.600
188,2008-09-04,,성산,제주지방기상청(184),33.3868,126.8802,20.34,21.740,1.700,10.000,1.500
188,1971-07-15,2008-09-04,성산,성산지역기상서비스센터(188),33.3868,126.8804,18.4,20.100,1.500,10.000,0.600
189,2010-11-09,,서귀포,제주지방기상청(184),33.2461,126.5653,49.03,50.330,1.700,10.000,1.500
189,1961-01-01,2010-11-09,서귀포,서귀포지역기상서비스센터(189),33.2461,126.5653,50.4,51.600,1.800,10.000,0.600
192,2005-11-23,,진주,창원기상대(155),35.1638,128.040,30.21,31.600,1.800,10.000,1.300
192,2007-01-31,,진주,창원기상대(155),35.1638,128.040,30.21,,,,
192,1969-03-01,2005-11-23,진주,,35.2084,128.1191,21.32,22.640,1.500,10.000,0.600
201,1972-01-11,,강화,인천기상대(112),37.7074,126.4463,47.84,49.240,1.600,10.000,0.600
201,2004-02-07,,강화,인천기상대(112),37.7074,126.4463,47.01,,,,
202,1972-01-11,,양평,수도권기상청(119),37.4886,127.4945,47.26,48.760,1.900,10.000,0.600
203,1972-01-11,,이천,수도권기상청(119),37.264,127.4842,80.09,81.590,1.800,10.000,0.600
211,1971-12-01,,인제,인제자동기상관측소(211),38.0599,128.1671,200.16,201.700,1.500,10.000,0.500
212,1971-09-27,,홍천,춘천기상대(101),37.6836,127.8804,139.95,141.900,1.600,13.000,0.500
214,1971-02-28,1996-01-01,삼척,,37.3667,129.2167,3.9,5.400,1.500,10.000,0.600
216,1985-08-01,,태백,태백자동기상관측소(216),37.1703,128.9893,712.82,714.300,1.600,16.000,0.600
217,2010-08-06,,정선군,,37.3813,128.6461,307.4,308.500,1.800,10.000,0.600
221,1972-01-11,,제천,청주기상대(131),37.1593,128.1943,259.8,260.600,1.500,10.000,0.500
226,1972-01-09,,보은,청주기상대(131),36.4876,127.7341,174.99,176.400,1.500,10.000,0.500
229,2017-09-08,,북격렬비도,대전지방기상청(133),36.6254,125.5595,103.56,,,,
229,2005-02-25,2017-09-08,격렬비도,대전지방기상청(133),36.6254,125.5595,103.56,,,,
229,2005-03-16,2017-09-08,격렬 *,대전지방기상청(133),36.6254,125.5595,103.56,,,,
232,2016-04-01,,천안,대전지방기상청(133),36.7624,127.2927,81.5,,,,
232,1972-01-08,2016-04-01,천안,천안지역기상서비스센터(232),36.7796,127.1213,21.3,22.600,1.800,9.500,0.600
232,2004-05-18,2016-04-01,천안,대전지방기상청(133),36.7796,127.1191,21.3,,,,
235,1972-01-24,,보령,대전지방기상청(133),36.3272,126.5574,9.98,17.000,1.600,10.000,1.100
236,1972-01-09,,부여,대전지방기상청(133),36.2724,126.9208,11.79,12.800,1.700,10.000,0.500
238,1972-01-09,,금산,대전지방기상청(133),36.1027,127.4817,170.34,171.900,1.500,10.000,0.500
243,1972-03-01,,부안,전주기상대(146),35.7295,126.7166,11.96,13.500,1.800,10.000,0.600
244,1970-06-02,,임실,전주기상대(146),35.612,127.2856,247.04,248.440,1.800,10.000,0.600
245,2016-11-01,,정읍,전주기상대(146),35.5631,126.8392,69.84,70.970,1.900,10.000,1.000
245,1970-01-05,2016-11-01,정읍,전주기상대(146),35.5632,126.8661,44.6,46.100,1.700,10.000,0.600
247,2017-08-25,,남원,전주기상대(146),35.4213,127.3965,132.5,91.800,1.700,10.000,0.700
247,2013-08-01,2017-08-25,남원,전주기상대(146),35.4023,127.3967,127.48,91.800,1.700,10.000,0.700
247,1972-01-04,2013-08-01,남원,남원기상대(247),35.4054,127.333,90.29,94.700,1.800,10.000,0.600
248,1988-01-01,,장수,전주기상대(146),35.657,127.5203,406.49,408.000,1.600,10.000,0.500
251,2010-12-01,,고창군,전주기상대(146),35.4266,126.697,54,55.500,1.700,10.000,0.600
251,2008-11-28,2010-11-30,고창,고창기상대(미사용 251),35.4266,126.697,54,55.300,1.800,10.000,0.700
251,2007-11-01,2008-11-28,고창,고창기상대(미사용 251),35.4251,126.699,54.02,55.320,1.500,10.000,0.500
252,2007-11-26,,영광군,광주지방기상청(156),35.2837,126.4778,37.2,38.700,1.500,13.000,0.600
253,2008-02-13,,김해시,부산지방기상청(159),35.2267,128.893,53.34,54.600,1.700,10.000,0.500
254,2008-07-16,,순창군,전주기상대(146),35.3714,127.1286,127,128.400,1.600,10.000,0.600
255,2010-07-22,,북창원,창원기상대(155),35.2264,128.6725,48.8,50.300,1.800,10.000,0.700
255,2008-12-26,2010-07-21,창원시,,35.2264,128.6725,46.77,48.120,1.800,10.000,0.600
256,2011-04-01,2012-07-02,주암,순천기상대(174),35.075,127.2391,74.63,75.400,1.500,14.000,0.600
256,1972-01-21,2011-04-01,순천,순천기상대(미사용 256),35.075,127.2391,74.4,75.400,1.500,14.000,0.600
257,2008-12-26,,양산시,울산기상대(152),35.3072,129.020,14.85,16.100,1.800,10.000,0.600
258,2010-03-11,,보성군,여수기상대(168),34.7633,127.2123,2.8,4.300,1.500,10.000,0.600
258,2010-02-08,2010-03-10,보성군,여수기상대(168),34.7633,127.2123,2.8,,,,
259,2009-11-10,,강진군,목포기상대(165),34.6261,126.7689,12.5,13.900,1.500,10.000,0.600
260,1972-01-21,,장흥,목포기상대(165),34.6888,126.9195,45.02,46.300,1.500,10.000,0.800
261,1971-02-03,,해남,목포기상대(165),34.5538,126.5691,16.36,17.910,1.500,10.000,0.800
262,2017-08-25,,고흥,여수기상대(168),34.6183,127.2757,51.91,53.310,1.500,10.000,0.800
262,1972-01-22,2017-08-25,고흥,여수기상대(168),34.6182,127.2757,53.12,54.600,1.500,10.000,0.600
263,2010-06-21,,의령군,창원기상대(155),35.3226,128.2881,14.18,14.900,2.000,10.000,0.600
264,2010-06-21,,함양군,창원기상대(155),35.5114,127.7454,151.2,152.500,1.800,10.000,0.600
265,1971-07-15,2007-03-27,성산포,,33.3868,126.8804,18.62,20.480,1.800,10.200,0.600
266,2017-08-25,,광양시,광주지방기상청(156),34.9434,127.6914,86.7,87.900,1.700,10.000,0.600
266,2011-01-01,2017-08-25,광양시,광주지방기상청(156),34.943,127.691,80.9,82.400,1.700,10.000,0.600
268,2014-05-09,,진도군,목포기상대(165),34.4731,126.2585,5.4,6.900,1.700,10.000,0.600
271,1988-01-01,,봉화,대구(구 143),36.9436,128.914,324.3,325.800,1.900,10.000,0.600
272,1972-11-28,,영주,안동기상대(136),36.8719,128.517,210.79,212.250,1.910,10.000,0.580
273,1973-01-01,,문경,대구(구 143),36.6273,128.148,170.61,172.200,1.800,10.000,0.600
273,2015-12-29,,문경,대구(구 143),36.6273,128.1488,170.61,,,,
276,2010-09-01,,청송군,안동기상대(136),36.4321,129.0423,206.23,207.780,1.750,10.000,0.500
277,1972-01-03,,영덕,포항기상대(138),36.5333,129.4094,40.61,41.960,1.700,10.000,0.600
277,2005-05-07,2010-10-27,영덕,울진기상대(130),36.5304,129.4117,41.2,,,,
278,1973-01-01,,의성,대구(구 143),36.3561,128.688,81.81,83.300,1.700,10.000,0.600
279,1973-01-01,,구미,대구(구 143),36.130,128.320,48.88,50.380,1.700,10.000,1.400
281,1972-01-21,,영천,대구(구 143),35.9774,128.9514,93.8,95.200,1.700,10.000,0.500
283,2010-08-06,,경주시,포항기상대(138),35.8175,129.2009,39.21,40.710,1.670,10.000,0.590
284,2011-03-04,,거창,울산기상대(152),35.6674,127.909,225.95,227.300,1.500,10.000,1.300
284,1972-01-24,2011-03-04,거창,거창기상대(284),35.6712,127.911,221.4,222.600,1.500,10.000,0.500
285,1973-01-01,,합천,울산기상대(152),35.565,128.1699,32,33.200,1.500,10.000,0.500
288,1973-01-01,,밀양,울산기상대(152),35.4915,128.7441,11.21,12.500,2.000,10.000,1.300
289,1972-03-30,,산청,창원기상대(155),35.413,127.8791,138.07,138.800,1.600,10.000,0.600
294,1972-01-24,,거제,부산지방기상청(159),34.8882,128.6045,45.4,46.700,1.700,10.000,0.600
295,1972-01-24,,남해,부산지방기상청(159),34.8166,127.9264,45.71,47.010,1.800,10.000,0.800
300,2015-07-13,,말도,전주기상대(146),35.8584,126.3153,48.45,,,,
300,2007-10-10,2015-07-13,말도,군산기상대(140),35.8584,126.3153,48.45,,,,
300,2001-02-20,2007-10-10,말도,군산기상대(140),35.850,126.3167,49,,,,
301,2011-11-23,,임자도,목포기상대(165),35.0859,126.118,6,,,,
301,2003-08-05,2011-11-23,임자도,목포기상대(165),35.0841,126.1112,15.35,,,,
301,2001-01-05,2003-08-05,안마도,광주지방기상청(156),35.3333,126.0167,5,,,,
302,2011-12-09,,장산도,목포기상대(165),34.6647,126.1592,19,,,,
302,2001-01-05,2011-12-09,장산도,목포기상대(165),34.6432,126.1491,18.91,,,,
303,2017-08-25,,가거도,흑산도기상대(169),34.0725,125.0972,97.84,,,,
303,2017-02-27,2017-08-25,가거도,흑산도기상대(169),34.0728,125.0975,107.9,,,,
303,2010-11-23,2017-02-27,가거도,흑산도기상대(169),34.0522,125.1264,22,,,,
303,2001-03-12,2010-11-23,가거도,흑산도기상대(169),34.0667,125.1167,60,,,,
304,2015-07-13,,신지도,목포기상대(165),34.318,126.8485,21,,,,
304,2011-11-17,2015-07-13,신지도,완도기상대(170),34.318,126.8485,21,,,,
304,2006-04-20,2011-11-17,신지도,완도기상대(170),34.3347,126.8273,21.41,,,,
304,2002-09-11,2006-04-20,소안도,완도기상대(170),34.1678,126.655,25,,,,
304,2001-02-20,2002-09-11,당사도,완도기상대(170),34.0833,126.600,100,,,,
305,2015-07-13,,여서도,목포기상대(165),33.9862,126.9201,35.38,,,,
305,2007-10-19,2015-07-13,여서도,완도기상대(170),33.9862,126.9201,35.38,,,,
305,2001-02-20,2007-10-19,여서도,완도기상대(170),33.900,126.9167,32,,,,
306,2014-10-24,,소리도,여수기상대(168),34.4319,127.8011,3.04,,,,
306,2001-01-05,2014-10-24,소리도,여수기상대(168),34.9525,127.8008,5,,,,
307,2001-01-05,2014-12-10,평도,여수기상대(168),34.2437,127.4496,38.49,,,,
308,2014-12-24,,옥도,목포기상대(165),34.687,126.0731,5.6,,,,
310,2015-07-13,,궁촌,강릉(구 105),37.3246,129.265,14,,,,
310,2011-12-29,2015-07-13,궁촌,동해기상대(106),37.3246,129.265,14,,,,
310,2005-06-29,2011-12-29,묵호,동해기상대(106),37.5546,129.1185,70.66,,,,
311,2015-07-13,,가야산,울산기상대(152),35.7892,128.0867,595.71,,,,
311,2001-09-25,2015-07-13,가야산,거창기상대(284),35.7892,128.0867,595.71,,,,
312,2011-12-01,,주왕산,안동기상대(136),36.393,129.1414,264,,,,
312,2001-10-11,2011-12-01,주왕산,안동기상대(136),36.3908,129.1418,260.96,,,,
313,2015-07-13,,양지암,부산지방기상청(159),34.8934,128.7514,54.65,,,,
313,2001-10-11,2015-07-13,양지암,통영기상대(162),34.8934,128.7514,54.65,,,,
314,2015-07-13,,덕유봉,전주기상대(146),35.8662,127.7431,1518.32,,,,
314,2007-07-26,2015-07-13,덕유봉,추풍령지역기상서비스센터(135),35.8662,127.7431,1518.32,,,,
314,2003-07-01,2007-07-26,덕유봉,추풍령지역기상서비스센터(135),35.8667,127.750,1515,,,,
314,2001-09-28,2003-07-01,덕유봉,전주기상대(146),35.8667,127.750,1515,,,,
315,2015-07-13,,성삼재,광주지방기상청(156),35.3067,127.5108,1088.86,,,,
315,2002-06-27,2015-07-13,성삼재,남원기상대(247),35.3067,127.5108,1088.86,,,,
315,2001-10-25,2002-06-27,지리산,전주기상대(146),35.3667,127.5333,1172,,,,
316,2012-12-01,,무등산,광주지방기상청(156),35.1144,126.9974,911.82,,,,
316,2001-10-15,2012-12-01,무등봉,광주지방기상청(156),35.1144,126.9974,911.82,,,,
317,2011-09-28,,모악산,전주기상대(146),35.7295,127.1142,101.3,,,,
317,2001-09-29,2011-09-28,모악산,전주기상대(146),35.7189,127.0454,96.89,,,,
318,2015-07-13,,용평,강릉(구 105),37.6434,128.6704,770,,,,
318,2011-10-18,2015-07-13,용평,대관령기상대(100),37.6434,128.6704,770,,,,
318,2001-10-25,2011-10-18,용평,대관령기상대(100),37.6437,128.6794,761.92,,,,
319,2014-11-23,,천부,울릉도기상대(115),37.5373,130.8708,58.05,,,,
319,2001-10-25,2014-11-23,천부,울릉도기상대(115),37.5408,130.8746,63,,,,
320,2015-07-13,,향로봉,강릉(구 105),38.331,128.3137,1262.62,,,,
320,2008-11-14,2015-07-13,향로봉,속초기상대(90),38.331,128.3137,1262.62,,,,
320,2001-10-25,2008-11-13,향로봉,속초기상대(90),38.325,128.3208,1267,,,,
321,2001-10-25,,원통,강릉(구 105),38.1147,128.1963,253.72,,,,
322,2015-07-13,,상서,춘천기상대(101),38.2155,127.6698,263.76,,,,
322,2001-10-25,2015-07-13,상서,철원기상대(95),38.2155,127.6698,263.76,,,,
323,2015-07-13,,마현,춘천기상대(101),38.2747,127.553,291.41,,,,
323,2009-11-11,2015-07-13,마현,철원기상대(95),38.2747,127.553,291.41,,,,
323,2001-10-25,2009-11-10,마현,철원기상대(95),38.2728,127.5542,269,,,,
324,2015-07-13,,송계,청주기상대(131),36.9101,128.0745,141,,,,
324,2011-06-02,2015-07-13,송계,충주지역기상서비스센터(127),36.9101,128.0745,141,,,,
324,2007-11-27,2011-06-02,송계,충주지역기상서비스센터(127),36.8831,128.0802,179.88,,,,
324,2001-10-25,2007-11-27,월악산,충주지역기상서비스센터(127),36.8667,128.0667,180,,,,
325,2015-07-13,,백운,청주기상대(131),37.1445,128.0253,230,,,,
325,2011-09-20,2015-07-13,백운,충주지역기상서비스센터(127),37.1445,128.0253,230,,,,
325,2001-10-25,2011-09-20,백운,충주지역기상서비스센터(127),37.1376,128.0254,233.72,,,,
326,2015-07-13,,용문산,,37.5455,127.6113,191.01,,,,
326,2012-05-24,2015-07-13,용문산,이천지역기상서비스센터(203),37.5455,127.6112,190.2,,,,
326,2001-10-25,2012-05-24,용문산,이천지역기상서비스센터(203),37.5453,127.583,197.28,,,,
327,2001-10-25,,우암산,청주기상대(131),36.6503,127.512,127.48,,,,
328,2015-07-13,,중문,제주지방기상청(184),33.2495,126.4061,63.04,,,,
328,2001-10-23,2015-07-13,중문,서귀포지역기상서비스센터(189),33.2495,126.4061,60.88,,,,
329,2018-06-01,,산천단,제주지방기상청(184),33.4471,126.5652,374.66,,,,
329,2008-11-26,2018-06-01,아라,제주지방기상청(184),33.4471,126.5652,374.66,,,,
329,2001-10-23,2008-11-26,오등,제주지방기상청(184),33.4238,126.5439,513,,,,
330,2017-07-25,,대흘,제주지방기상청(184),33.5008,126.6495,144,,,,
330,2015-07-13,2017-07-25,회수,제주지방기상청(184),33.2727,126.4501,221,,,,
330,2012-07-10,2015-07-13,회수,서귀포지역기상서비스센터(189),33.2727,126.4501,226,,,,
330,2001-10-23,2012-07-10,하원,서귀포지역기상서비스센터(189),33.2886,126.4616,407.21,,,,
399,2019-03-01,,서청주,청주기상대(131),36.5667,127.3667,93,,,,
399,2017-04-01,2018-10-01,서청주,청주기상대(131),36.5667,127.3667,93,,,,
399,2015-11-10,2017-01-01,서청주,청주기상대(131),36.5667,127.3667,93,,,,
399,2006-01-01,2015-11-10,청원,청주기상대(131),36.5667,127.3667,93,,,,
400,2010-08-16,,강남,,37.5134,127.0467,59.24,,,,
400,1994-12-04,2010-08-15,강남,서울기상관측소(108),37.5094,127.0485,59,,,,
401,2016-09-12,,서초,,37.4846,127.026,33.05,,,,
401,2010-08-16,2016-09-12,서초 *,,37.4889,127.0156,35.53,,,,
401,1994-12-04,2010-08-15,서초,서울기상관측소(108),37.480,127.020,36,,,,
402,2010-08-16,,강동,,37.5555,127.145,56.21,,,,
402,1994-12-04,2010-08-15,강동,서울기상관측소(108),37.5519,127.1484,55,,,,
403,2010-08-16,,송파 *,,37.5115,127.0967,58.26,,,,
403,1994-12-05,2010-08-15,송파,서울기상관측소(108),37.5082,127.1004,53,,,,
404,2010-08-16,,강서,,37.5739,126.8295,80.4,,,,
404,1994-12-05,2010-08-15,강서,서울기상관측소(108),37.550,126.850,79,,,,
405,2010-08-16,,양천 *,,37.5296,126.8782,11.93,,,,
405,1994-12-05,2010-08-15,양천,서울기상관측소(108),37.524,126.8793,11,,,,
